	积分流强A*h	  流强mA	  寿命h 	压强pa  	流强*寿命	压强/流强
	606.5986084	187.3576784	7.792098837	5.28E-08	1459.909548	3.48E-10
	610.1339829	221.995938	6.738427729	5.84E-08	1495.903584	2.94E-10
	614.1124218	215.591558	7.131290198	5.81E-08	1537.445964	3.03E-10
	616.5007749	159.9158032	9.659940873	4.97E-08	1544.777204	4.08E-10
	617.9834135	202.555204	7.273252162	5.48E-08	1473.235075	3.22E-10
	621.8852175	134.2778782	11.08289295	4.55E-08	1488.18735	4.86E-10
	623.1186462	139.1245212	10.64716392	4.57E-08	1481.281582	4.69E-10
	624.0055299	147.4048226	9.716788695	4.32E-08	1432.301514	4.42E-10
	
	624.1365006	13.99832686	4.74653472	4.48E-08	66.44354446	3.20E-09 第三阶段 20150419-20150801
	624.2101974	22.345454	4.001883929	5.05E-08	89.42391325	2.26E-09
	624.3186693	23.1966824	5.111029116	4.81E-08	118.5589191	2.08E-09
	624.4728308	21.4549896	6.355343542	4.39E-08	136.3538296	2.05E-09
	624.665975	33.6978852	5.784234133	4.87E-08	194.9164578	1.44E-09
	624.8536417	40.4416606	5.815419854	5.01E-08	235.185236	1.24E-09
	625.0851127	57.750838	4.643840214	5.55E-08	268.1856639	9.60E-10
	625.2970351	60.2529136	4.181034627	5.58E-08	251.9195182	9.26E-10
	625.7440635	52.9637334	6.176130329	4.74E-08	327.1109202	8.96E-10
	626.4206948	57.1365846	6.424805043	4.75E-08	367.0914169	8.31E-10
	626.7760572	69.0760858	5.904017648	5.10E-08	407.8264297	7.38E-10
	627.3364385	78.9165224	6.051577479	5.19E-08	477.5694497	6.58E-10
	627.7452476	72.9757478	6.477869168	5.12E-08	472.7273467	7.02E-10
	627.9651186	145.687099	3.747865457	6.81E-08	546.0156459	4.68E-10
	628.8280134	73.492261	7.305516675	4.86E-08	536.8989382	6.62E-10
	629.7703458	131.143035	4.736500182	6.36E-08	621.1590091	4.85E-10
	631.2785789	131.6332974	4.758607895	6.05E-08	626.3912483	4.60E-10
	632.3459763	144.6054034	4.624610344	6.10E-08	668.7436443	4.22E-10
	633.7787653	68.218825	7.960753923	4.52E-08	543.0732788	6.63E-10
	634.969089	92.8072388	7.672659901	4.85E-08	712.0783797	5.23E-10
	636.2677664	92.4747088	7.640639608	5.11E-08	706.5659228	5.53E-10
	637.3458774	111.2513678	6.940198981	5.21E-08	772.1066294	4.69E-10
	638.7569605	94.3798888	8.545695992	4.68E-08	806.5418374	4.96E-10
	639.8801115	109.303033	7.432052124	5.03E-08	812.3458386	4.60E-10
	641.3155071	114.4027236	7.36334854	5.17E-08	842.3871278	4.52E-10
	642.3169843	139.887878	5.764691025	5.54E-08	806.4103949	3.96E-10
	643.9439064	117.7799868	7.156149474	5.52E-08	842.8511905	4.68E-10
	645.1940825	103.8733788	8.060738269	4.63E-08	837.2961196	4.46E-10
	646.6917028	100.2085116	8.650689186	4.75E-08	866.8726877	4.74E-10
	649.3816692	103.9875528	8.51346826	4.84E-08	885.2947302	4.65E-10
	650.5088937	118.5533646	7.654130498	4.93E-08	907.4229237	4.16E-10
	652.8925057	67.5013718	11.95646914	3.71E-08	807.0780691	5.50E-10
	654.6472239	78.1707776	11.05333349	3.91E-08	864.0476739	5.01E-10
